type,id,side,price,qty,ts
LIMIT,1,BUY,1001037,36,0
LIMIT,2,BUY,1001016,14,1
LIMIT,3,BUY,1000418,55,2
CANCEL,1,BUY,0,0,3
LIMIT,4,BUY,1000298,26,4
LIMIT,5,SELL,998902,58,5
LIMIT,6,BUY,1001108,21,6
LIMIT,7,SELL,999138,20,7
LIMIT,8,SELL,998418,12,8
LIMIT,9,SELL,1001471,45,9
LIMIT,10,BUY,1000988,59,10
LIMIT,11,SELL,998322,71,11
LIMIT,12,SELL,1000364,25,12
LIMIT,13,BUY,1000708,30,13
LIMIT,14,BUY,1001503,30,14
LIMIT,15,SELL,999138,59,15
LIMIT,16,SELL,998666,48,16
LIMIT,17,SELL,1000874,88,17
LIMIT,18,BUY,1000187,94,18
LIMIT,19,SELL,999554,35,19
LIMIT,20,BUY,1000804,42,20
LIMIT,21,BUY,998938,5,21
LIMIT,22,SELL,999096,9,22
LIMIT,23,SELL,998870,84,23
LIMIT,24,SELL,998585,34,24
MARKET,25,SELL,0,48,25
LIMIT,26,SELL,999482,29,26
LIMIT,27,BUY,1000087,64,27
MARKET,28,BUY,0,8,28
LIMIT,29,BUY,1001244,88,29
LIMIT,30,BUY,999576,49,30
LIMIT,31,SELL,1000167,33,31
LIMIT,32,BUY,1000786,93,32
MARKET,33,SELL,0,50,33
LIMIT,34,BUY,999202,56,34
LIMIT,35,BUY,1001906,93,35
LIMIT,36,SELL,1001980,65,36
LIMIT,37,BUY,1001565,81,37
LIMIT,38,BUY,998626,48,38
LIMIT,39,BUY,1000453,42,39
LIMIT,40,BUY,1001805,47,40
LIMIT,41,SELL,998980,8,41
LIMIT,42,BUY,998350,94,42
LIMIT,43,BUY,1001115,69,43
LIMIT,44,BUY,1000702,61,44
LIMIT,45,BUY,999085,68,45
LIMIT,46,SELL,1001950,28,46
LIMIT,47,BUY,1000920,40,47
LIMIT,48,SELL,999794,67,48
LIMIT,49,BUY,998920,9,49
LIMIT,50,BUY,1000410,29,50
CANCEL,50,BUY,0,0,51
LIMIT,51,BUY,998276,5,52
LIMIT,52,BUY,1000105,31,53
LIMIT,53,SELL,998877,70,54
MARKET,54,SELL,0,16,55
LIMIT,55,SELL,998779,13,56
MARKET,56,SELL,0,23,57
LIMIT,57,SELL,1001538,94,58
MARKET,58,BUY,0,4,59
LIMIT,59,SELL,1001279,14,60
LIMIT,60,BUY,1000196,58,61
MARKET,61,BUY,0,18,62
LIMIT,62,BUY,999815,71,63
MARKET,63,BUY,0,6,64
LIMIT,64,BUY,998681,53,65
LIMIT,65,BUY,1001541,52,66
LIMIT,66,BUY,999552,1,67
LIMIT,67,SELL,1001795,59,68
LIMIT,68,SELL,998634,25,69
LIMIT,69,BUY,1000372,95,70
LIMIT,70,SELL,998234,7,71
LIMIT,71,BUY,998232,66,72
MARKET,72,BUY,0,5,73
LIMIT,73,BUY,999653,16,74
LIMIT,74,BUY,1000371,77,75
CANCEL,7,BUY,0,0,76
LIMIT,75,SELL,1001828,34,77
LIMIT,76,SELL,998977,34,78
LIMIT,77,SELL,999872,41,79
LIMIT,78,BUY,998038,59,80
LIMIT,79,BUY,998300,69,81
LIMIT,80,SELL,998542,45,82
LIMIT,81,BUY,999513,37,83
LIMIT,82,SELL,1000505,84,84
LIMIT,83,SELL,1001816,85,85
MARKET,84,BUY,0,17,86
MARKET,85,BUY,0,48,87
LIMIT,86,SELL,999154,78,88
LIMIT,87,SELL,998833,88,89
LIMIT,88,SELL,1000070,63,90
LIMIT,89,BUY,998378,82,91
LIMIT,90,SELL,998180,1,92
LIMIT,91,BUY,1000609,34,93
LIMIT,92,SELL,1000259,91,94
LIMIT,93,BUY,998458,10,95
LIMIT,94,BUY,1000234,5,96
LIMIT,95,BUY,999760,17,97
CANCEL,53,BUY,0,0,98
LIMIT,96,BUY,1001681,46,99
LIMIT,97,BUY,1000731,14,100
LIMIT,98,SELL,1001988,80,101
LIMIT,99,BUY,1001541,21,102
LIMIT,100,BUY,1001610,53,103
CANCEL,48,BUY,0,0,104
LIMIT,101,SELL,1001285,86,105
